Component,Property,Value,Units,Description
Motor,Model,Flash Hobby D3536-750KV,-,Brushless Outrunner Motor for RC and control applications
Motor,KV Rating,750,RPM/V,Velocity constant (revolutions per volt applied)
Motor,Resistance (phase-to-phase),"0,142",Ω,Measured resistance between two motor phases
Motor,Resistance (per phase),"0,071",Ω,Estimated single-phase resistance (R_line/2)
Motor,Inductance,"0,36",mH,Typical inductance per phase
Motor,Idle Current (Io),"0,9",A,No-load current at 10V
Motor,Max Continuous Current,42,A,Maximum recommended continuous current
Motor,Max Power,560,W,Peak continuous mechanical output power
Motor,Rated Voltage,"14,8",V,Nominal operating voltage (4S LiPo)
Motor,Weight,"96,5",g,Motor weight including leads
Motor,Shaft Diameter,5,mm,Output shaft diameter
Motor,Motor Diameter,35,mm,Stator can outer diameter
Motor,Motor Length,36,mm,Body length without shaft
Motor,Mounting Hole Pattern,25,mm,Cross-mount hole spacing (M3 screws)
Motor,Efficiency Peak,86,percent,Typical efficiency at optimal load
Motor,Poles,14,-,Number of magnetic poles
Motor,Max RPM,13000,RPM,Maximum mechanical speed
Motor,Torque Constant (Kt),"0,0127",N·m/A,Kt = 60 / (2π × KV)
Motor,Back EMF Constant (Ke),"0,0127",V·s/rad,Same value as torque constant for SI units
