Recording_Time_s,Arm_Angle_deg,PWM_Input_us,Duty_Cycle_percent
0.000000,16.162173,1189.00,5.9450
0.050313,16.225639,1189.00,5.9450
0.100997,16.276411,1189.00,5.9450
0.152008,16.299449,1189.00,5.9450
0.202061,16.282719,1189.00,5.9450
0.253061,16.234175,1189.00,5.9450
0.304014,16.142620,1189.00,5.9450
0.354556,16.034216,1189.00,5.9450
0.405063,15.912333,1189.00,5.9450
0.455118,15.797246,1189.00,5.9450
0.505999,15.705177,1189.00,5.9450
0.556121,15.631522,1189.00,5.9450
0.607005,15.572597,1189.00,5.9450
0.657997,15.578198,1189.00,5.9450
0.709003,15.635418,1189.00,5.9450
0.759008,15.733915,1189.00,5.9450
0.810287,15.847872,1189.00,5.9450
0.861002,15.991777,1189.00,5.9450
0.911087,15.878382,1189.00,5.9450
0.962004,15.822826,1189.00,5.9450
1.012066,15.813540,1189.00,5.9450
1.063035,15.823692,1189.00,5.9450
1.114077,15.831814,1189.00,5.9450
1.165008,15.838311,1189.00,5.9450
1.215062,15.825929,1189.00,5.9450
1.266007,15.745703,1189.00,5.9450
1.317074,15.910042,1189.00,5.9450
1.367070,15.988774,1189.00,5.9450
1.418014,15.981459,1225.00,6.1250
1.469069,15.905287,1225.00,6.1250
1.519011,15.826770,1225.00,6.1250
1.570197,15.763956,1225.00,6.1250
1.621058,15.854325,1225.00,6.1250
1.670997,15.926620,1225.00,6.1250
1.722072,15.826256,1225.00,6.1250
1.773057,16.255725,1225.00,6.1250
1.822993,16.616880,1225.00,6.1250
1.874071,17.028864,1225.00,6.1250
1.925091,17.551811,1225.00,6.1250
1.974992,18.198669,1225.00,6.1250
2.026035,18.856795,1225.00,6.1250
2.077068,19.471176,1225.00,6.1250
2.127030,20.279081,1225.00,6.1250
2.178073,20.890265,1225.00,6.1250
2.229016,21.467092,1225.00,6.1250
2.279002,22.139493,1225.00,6.1250
2.330323,22.466475,1225.00,6.1250
2.380999,22.956580,1225.00,6.1250
2.431059,23.155304,1225.00,6.1250
2.482012,23.296703,1225.00,6.1250
2.533059,23.181302,1225.00,6.1250
2.584068,23.071402,1225.00,6.1250
2.634012,22.878022,1225.00,6.1250
2.684996,22.705737,1225.00,6.1250
2.736074,22.286670,1225.00,6.1250
2.786011,21.775616,1225.00,6.1250
2.837065,21.278893,1225.00,6.1250
2.888063,20.811194,1225.00,6.1250
2.937985,20.524935,1225.00,6.1250
2.988993,20.243188,1225.00,6.1250
3.038986,20.088111,1225.00,6.1250
