# PropArm Data Recording
# Export Time: 2025-11-19T14:19:50
# Number of Points: 995
# Recording Duration: 9.993 seconds
# Start Time: 2025-11-19T14:19:05
# End Time: 2025-11-19T14:19:15
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us
0.000000,42.483630,45.000000,525.304600,1309.00
0.010175,42.515395,45.000000,525.289227,1309.00
0.020433,42.549120,45.000000,525.274158,1309.00
0.030252,42.585214,45.000000,525.259388,1309.00
0.040324,42.624007,45.000000,525.244909,1309.00
0.050291,42.664943,45.000000,525.230717,1309.00
0.060386,42.708468,45.000000,525.216805,1309.00
0.070547,42.754518,45.000000,525.203169,1309.00
0.080439,42.802392,45.000000,525.189803,1309.00
0.090581,42.852437,45.000000,525.176701,1309.00
0.100507,42.904619,45.000000,525.163858,1309.00
0.110640,42.958350,45.000000,525.151269,1309.00
0.120770,43.013898,45.000000,525.138929,1309.00
0.130740,43.071483,45.000000,525.126834,1309.00
0.140998,43.130281,45.000000,525.114977,1309.00
0.150962,43.190307,45.000000,525.103355,1309.00
0.160971,43.252624,45.000000,525.091963,1309.00
0.171061,43.315983,45.000000,525.080797,1309.00
0.181183,43.380374,45.000000,525.069851,1309.00
0.191443,43.446730,45.000000,525.059122,1309.00
0.201358,43.513973,45.000000,525.048605,1309.00
0.211313,43.582031,45.000000,525.038297,1309.00
0.221327,43.651731,45.000000,525.028192,1309.00
0.231311,43.721861,45.000000,525.018287,1309.00
0.241564,43.792415,45.000000,525.008578,1309.00
0.251563,43.864458,45.000000,524.999061,1309.00
0.261596,43.936947,45.000000,524.989732,1309.00
0.271685,44.009882,45.000000,524.980588,1309.00
0.281658,44.084330,45.000000,524.971625,1309.00
0.291723,44.158980,45.000000,524.962839,1309.00
0.301773,44.233705,45.000000,524.987808,1310.00
0.311872,44.309221,45.000000,524.978702,1309.00
0.322045,44.384391,45.000000,524.969776,1309.00
0.332023,44.459404,45.000000,524.961026,1309.00
0.341984,44.535267,45.000000,524.952450,1309.00
0.352099,44.610789,45.000000,524.944043,1309.00
0.362149,44.685819,45.000000,524.935803,1309.00
0.372238,44.761394,45.000000,524.927726,1309.00
0.382199,44.836601,45.000000,524.919808,1309.00
0.392339,44.910589,45.000000,524.912047,1309.00
0.402233,44.984699,45.000000,524.904440,1309.00
0.412365,45.057959,45.000000,524.896983,1309.00
0.422506,45.130098,45.000000,524.889674,1309.00
0.432495,45.201919,45.000000,524.882509,1309.00
0.442584,45.272536,45.000000,524.875486,1309.00
0.452697,45.341519,45.000000,524.868602,1309.00
0.462624,45.409951,45.000000,524.861854,1309.00
0.472797,45.477075,45.000000,524.855240,1309.00
0.482737,45.542572,45.000000,524.848756,1309.00
0.492781,45.607151,45.000000,524.842401,1309.00
0.503002,45.670089,45.000000,524.836172,1309.00
0.512944,45.731025,45.000000,524.830065,1309.00
0.523129,45.790762,45.000000,524.824080,1309.00
0.533010,45.848999,45.000000,524.818213,1309.00
0.543091,45.904902,45.000000,524.812462,1309.00
0.553522,45.959530,45.000000,524.806824,1309.00
