Recording_Time_s,Arm_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent
1.507413,9.536100,0.000000,1336.00,6.6800
1.517347,9.536100,0.000000,1336.00,6.6800
1.527469,9.536100,0.000000,1336.00,6.6800
1.537563,9.536100,0.000000,1336.00,6.6800
1.547748,9.536100,0.000000,1336.00,6.6800
1.557752,9.536100,0.000000,1336.00,6.6800
1.567761,9.536100,0.000000,1336.00,6.6800
1.577927,9.536100,0.000000,1336.00,6.6800
1.587884,9.536100,0.000000,1336.00,6.6800
1.598038,9.536100,0.000000,1336.00,6.6800
1.607983,9.536100,0.000000,1336.00,6.6800
1.618013,9.536100,0.000000,1336.00,6.6800
1.628133,9.536100,0.000000,1336.00,6.6800
1.638079,9.536100,0.000000,1336.00,6.6800
1.648285,9.536100,0.000000,1336.00,6.6800
1.658280,9.536100,0.000000,1336.00,6.6800
1.668347,9.536100,0.000000,1336.00,6.6800
1.678412,9.536100,0.000000,1336.00,6.6800
1.688437,9.536100,0.000000,1336.00,6.6800
1.698580,9.536100,0.000000,1336.00,6.6800
1.708488,9.536100,0.000000,1336.00,6.6800
1.718545,9.536100,0.000000,1336.00,6.6800
1.728818,9.536100,0.000000,1336.00,6.6800
1.738635,9.536100,0.000000,1336.00,6.6800
1.748788,9.536100,0.000000,1336.00,6.6800
1.758714,9.536100,0.000000,1336.00,6.6800
1.768781,9.536100,0.000000,1336.00,6.6800
1.778928,9.536100,0.000000,1336.00,6.6800
1.788913,9.536100,0.000000,1336.00,6.6800
1.798964,9.536100,8.276369,1336.00,6.6800
1.809017,9.536100,16.407286,1336.00,6.6800
1.819038,9.536100,24.395309,1336.00,6.6800
1.829049,9.536100,32.242949,1336.00,6.6800
1.839053,9.536100,39.952672,1336.00,6.6800
1.849106,9.536100,47.526903,1336.00,6.6800
1.859079,9.536100,54.968023,1336.00,6.6800
1.869120,9.536100,62.278370,1336.00,6.6800
1.879146,9.536100,69.460244,1336.00,6.6800
1.889252,9.536100,76.515902,1336.00,6.6800
1.899265,9.536100,83.447562,1336.00,6.6800
1.909415,9.536100,90.257403,1336.00,6.6800
1.919378,9.536100,96.947567,1336.00,6.6800
1.929392,9.536100,103.520156,1336.00,6.6800
1.939409,9.536100,109.977237,1336.00,6.6800
1.949460,9.536100,116.320840,1336.00,6.6800
1.959540,9.536100,122.552958,1336.00,6.6800
1.969558,9.536100,128.675552,1336.00,6.6800
1.979611,9.536100,134.690546,1336.00,6.6800
1.989675,9.536100,140.599831,1336.00,6.6800
1.999599,9.536100,146.405265,1336.00,6.6800
2.009702,9.536100,152.108673,1336.00,6.6800
2.019827,9.536100,157.711848,1336.00,6.6800
2.029827,9.536100,163.216551,1336.00,6.6800
2.039805,9.536100,168.624514,1336.00,6.6800
2.049851,9.536100,173.937435,1336.00,6.6800
2.059759,9.536100,179.156986,1336.00,6.6800
2.069973,9.536100,184.284808,1336.00,6.6800
2.080172,9.536100,189.322512,1336.00,6.6800
2.090060,9.536100,194.271682,1336.00,6.6800
2.100059,9.536100,199.133874,1336.00,6.6800
2.110272,9.536100,203.910617,1336.00,6.6800
2.120161,9.536100,208.603412,1336.00,6.6800
2.130268,9.536100,213.213735,1336.00,6.6800
2.140357,9.536100,217.743035,1336.00,6.6800
2.150348,9.536100,222.192736,1336.00,6.6800
2.160376,9.536100,226.564237,1336.00,6.6800
2.170471,9.536100,230.858912,1336.00,6.6800
2.180456,9.536100,235.078112,1336.00,6.6800
2.190534,9.536100,239.223162,1336.00,6.6800
2.200531,9.536100,243.295366,1336.00,6.6800
2.210647,9.536100,247.296005,1336.00,6.6800
2.220725,9.536100,251.226335,1336.00,6.6800
2.230829,9.536100,255.087592,1336.00,6.6800
2.240784,9.536100,258.880991,1336.00,6.6800
2.250823,9.536100,262.607724,1336.00,6.6800
2.260939,9.536100,266.268963,1336.00,6.6800
2.271050,9.536100,269.865858,1336.00,6.6800
2.281035,9.536100,273.399540,1336.00,6.6800
2.291125,9.536100,276.871120,1336.00,6.6800
2.301163,9.536100,280.281691,1336.00,6.6800
2.311126,9.536100,283.632323,1336.00,6.6800
2.321124,9.536100,286.924070,1336.00,6.6800
2.331180,9.536100,290.157967,1336.00,6.6800
2.341196,9.536100,293.335031,1336.00,6.6800
2.351271,9.536100,296.456260,1336.00,6.6800
2.361290,9.536100,299.522637,1336.00,6.6800
2.371311,9.536100,302.535124,1336.00,6.6800
2.381409,9.536100,305.494669,1336.00,6.6800
2.391377,9.536100,308.402202,1336.00,6.6800
2.401469,9.536100,311.258637,1336.00,6.6800
2.411604,9.536100,314.064873,1336.00,6.6800
2.421583,9.536100,316.821791,1336.00,6.6800
2.431732,9.536100,319.530259,1336.00,6.6800
2.441599,9.536100,322.191127,1336.00,6.6800
2.451792,9.536100,324.805233,1336.00,6.6800
