Recording_Time_s,Arm_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent
0.000000,8.920900,0.000000,1000.00,5.0000
0.050963,8.920900,0.000000,1000.00,5.0000
0.101005,8.920900,0.000000,1000.00,5.0000
0.152047,8.920900,0.000000,1000.00,5.0000
0.202902,8.920900,0.000000,1000.00,5.0000
0.253260,8.920900,0.000000,1000.00,5.0000
0.303928,8.920900,0.000000,1000.00,5.0000
0.354040,8.920900,0.000000,1000.00,5.0000
0.404929,8.920900,0.000000,1000.00,5.0000
0.455020,8.920900,0.000000,1000.00,5.0000
0.505967,8.920900,0.000000,1000.00,5.0000
0.556030,8.920900,0.000000,1000.00,5.0000
0.606896,8.920900,0.000000,1000.00,5.0000
0.658652,8.920900,0.000000,1000.00,5.0000
0.707938,8.920900,0.000000,1000.00,5.0000
0.758888,8.920900,0.000000,1000.00,5.0000
0.808965,8.920900,0.000000,1000.00,5.0000
0.860031,8.920900,0.000000,1000.00,5.0000
0.910929,8.920900,0.000000,1000.00,5.0000
0.960900,8.920900,0.000000,1000.00,5.0000
1.011949,8.920900,0.000000,1000.00,5.0000
1.061903,8.920900,0.000000,1000.00,5.0000
1.113239,8.920900,0.000000,1000.00,5.0000
1.163115,8.920900,0.000000,1000.00,5.0000
1.213946,8.920900,0.000000,1000.00,5.0000
1.263936,8.920900,0.000000,1000.00,5.0000
1.315009,8.920900,0.000000,1000.00,5.0000
1.364899,8.920900,0.000000,1000.00,5.0000
1.415993,8.920900,0.000000,1000.00,5.0000
1.465895,8.920900,0.000000,1000.00,5.0000
1.517039,8.920900,0.000000,1000.00,5.0000
1.566959,8.920900,0.000000,1000.00,5.0000
1.618063,8.920900,0.000000,1336.00,6.6800
1.667908,8.920900,0.000000,1336.00,6.6800
1.718896,8.920900,0.027570,1336.00,6.6800
1.770044,8.920900,2.937215,1336.00,6.6800
1.819923,8.920900,10.038617,1336.00,6.6800
1.871023,8.920900,25.649985,1336.00,6.6800
1.921996,8.920900,50.088242,1336.00,6.6800
1.971952,8.920900,81.633851,1336.00,6.6800
2.023143,9.061520,123.640983,1336.00,6.6800
2.073257,9.332216,163.356546,1336.00,6.6800
2.123984,9.478473,203.113679,1336.00,6.6800
2.174897,10.157978,237.390617,1336.00,6.6800
2.225947,11.123463,268.314479,1336.00,6.6800
2.276050,12.335290,294.643488,1336.00,6.6800
2.327061,14.113352,317.759494,1336.00,6.6800
2.377981,16.555322,341.264870,1336.00,6.6800
2.427946,19.106557,358.142410,1336.00,6.6800
2.479058,21.850666,374.420363,1336.00,6.6800
2.529968,24.907293,388.478309,1336.00,6.6800
2.580925,28.407274,400.991337,1336.00,6.6800
2.630966,31.892819,410.370592,1336.00,6.6800
2.683924,35.050395,419.320358,1336.00,6.6800
2.733258,38.297156,426.600554,1336.00,6.6800
2.782991,41.193385,434.599311,1336.00,6.6800
2.833970,43.334588,438.885305,1336.00,6.6800
2.884898,45.363950,445.357849,1336.00,6.6800
2.935934,46.706200,448.197252,1336.00,6.6800
2.985901,47.727260,452.982904,1336.00,6.6800
3.036994,47.999188,456.953403,1336.00,6.6800
3.087943,48.058531,458.279943,1336.00,6.6800
3.137905,47.684124,462.096626,1336.00,6.6800
3.189032,46.716640,462.777262,1336.00,6.6800
3.240502,45.186792,465.303763,1336.00,6.6800
3.289954,43.382833,467.992459,1336.00,6.6800
3.340996,40.920127,467.621620,1336.00,6.6800
3.391987,38.510521,469.984702,1336.00,6.6800
3.441895,35.985177,470.231947,1336.00,6.6800
3.493264,33.683642,470.616000,1336.00,6.6800
3.543927,31.209613,472.955430,1336.00,6.6800
3.594032,29.177651,471.655435,1336.00,6.6800
3.644960,27.288401,473.205545,1336.00,6.6800
3.695904,26.058260,472.812298,1336.00,6.6800
3.745899,25.162028,472.609978,1336.00,6.6800
3.796896,24.708723,474.114452,1336.00,6.6800
3.847960,24.926158,472.146429,1336.00,6.6800
3.898034,25.486827,473.458445,1336.00,6.6800
3.948915,26.409961,471.374533,1336.00,6.6800
4.000030,27.570349,473.258633,1336.00,6.6800
4.050006,29.236939,472.407453,1336.00,6.6800
4.100891,31.167871,472.602235,1336.00,6.6800
4.152046,33.081757,472.748405,1336.00,6.6800
4.201954,35.122626,471.892369,1336.00,6.6800
4.253157,37.212361,473.684724,1336.00,6.6800
4.302905,39.182968,471.730775,1336.00,6.6800
4.354010,40.864935,473.055069,1336.00,6.6800
4.404895,42.122608,471.244934,1336.00,6.6800
4.454925,43.163906,473.219964,1336.00,6.6800
4.505902,44.014525,473.277539,1336.00,6.6800
4.557003,44.396200,472.643243,1336.00,6.6800
4.607114,44.402700,473.950502,1336.00,6.6800
4.658113,44.003600,472.491856,1336.00,6.6800
4.709086,43.086660,474.595343,1336.00,6.6800
4.759094,41.966388,474.663227,1336.00,6.6800
4.810053,40.736190,473.900803,1336.00,6.6800
4.860978,39.207112,475.098822,1336.00,6.6800
4.911029,37.614710,473.104554,1336.00,6.6800
4.961976,35.901348,474.970921,1336.00,6.6800
5.013265,34.214238,474.345748,1336.00,6.6800
5.063031,32.846971,473.792285,1336.00,6.6800
5.114029,31.401597,473.864918,1336.00,6.6800
5.164901,30.403497,472.684445,1336.00,6.6800
5.216089,29.376518,474.813958,1336.00,6.6800
5.265901,28.783434,472.978235,1336.00,6.6800
5.317022,28.555067,473.936849,1336.00,6.6800
5.366893,28.477834,472.920277,1336.00,6.6800
5.417891,28.732467,473.185345,1336.00,6.6800
5.468894,29.234994,473.882989,1336.00,6.6800
5.518898,30.094055,472.287305,1336.00,6.6800
5.569998,31.132864,473.023475,1336.00,6.6800
5.621038,32.420931,471.363158,1336.00,6.6800
5.670909,33.627165,473.378745,1336.00,6.6800
5.721942,34.978872,471.276608,1336.00,6.6800
5.773155,36.112978,472.431007,1336.00,6.6800
5.822946,37.266362,470.471991,1336.00,6.6800
5.874008,38.276950,472.491892,1336.00,6.6800
5.925075,39.261200,472.613408,1336.00,6.6800
5.974922,39.978300,472.078192,1336.00,6.6800
6.025909,40.358620,472.938533,1336.00,6.6800
6.076941,40.522256,471.548388,1336.00,6.6800
6.127011,40.407065,473.976395,1336.00,6.6800
6.177915,39.945772,472.834476,1336.00,6.6800
6.228962,39.295477,473.183919,1336.00,6.6800
6.279004,38.599462,473.319021,1336.00,6.6800
6.329906,37.620790,472.476078,1336.00,6.6800
6.381001,36.574172,474.450127,1336.00,6.6800
6.431040,35.508357,472.617663,1336.00,6.6800
6.482095,34.462346,473.920958,1336.00,6.6800
6.533256,33.291557,472.496879,1336.00,6.6800
6.582954,32.319765,473.379963,1336.00,6.6800
6.633931,31.559912,473.471168,1336.00,6.6800
6.685172,30.846570,472.433113,1336.00,6.6800
6.735030,30.275896,472.719371,1336.00,6.6800
6.785902,30.083017,471.416265,1336.00,6.6800
6.836936,29.700193,472.962996,1336.00,6.6800
6.886900,29.833395,470.916786,1336.00,6.6800
6.937898,30.150896,471.952313,1336.00,6.6800
6.989019,30.404897,470.038491,1336.00,6.6800
7.038903,30.819037,472.156673,1336.00,6.6800
7.089933,31.589810,470.338512,1336.00,6.6800
7.140023,32.522828,471.695380,1336.00,6.6800
7.190935,33.392282,470.007013,1336.00,6.6800
7.241116,34.070266,472.079771,1336.00,6.6800
7.292035,35.016953,471.628650,1336.00,6.6800
7.342941,35.651262,471.701078,1336.00,6.6800
7.393231,36.316910,472.374446,1336.00,6.6800
7.444060,36.972468,471.347614,1336.00,6.6800
7.494952,37.549654,473.762117,1336.00,6.6800
7.545946,37.888363,472.861860,1336.00,6.6800
7.596013,38.053851,473.315046,1336.00,6.6800
7.646904,38.203821,473.469254,1336.00,6.6800
7.697013,38.007396,472.550136,1336.00,6.6800
7.748069,37.920557,474.297840,1336.00,6.6800
7.798957,37.394066,472.438779,1336.00,6.6800
7.849986,36.709193,473.688732,1336.00,6.6800
7.899971,36.214034,471.991358,1336.00,6.6800
7.951005,35.519087,473.286824,1336.00,6.6800
8.002001,34.945550,473.277805,1336.00,6.6800
8.051902,34.135160,472.391860,1336.00,6.6800
8.102927,33.504428,473.014846,1336.00,6.6800
8.153321,32.701002,471.612909,1336.00,6.6800
8.204016,32.269202,473.623477,1336.00,6.6800
8.255041,31.906181,471.874511,1336.00,6.6800
8.304995,31.598185,473.248404,1336.00,6.6800
8.355896,31.316628,472.432344,1336.00,6.6800
8.406901,31.284743,472.887887,1336.00,6.6800
8.458029,31.224094,473.996074,1336.00,6.6800
8.508002,31.439235,472.314938,1336.00,6.6800
8.559027,31.822288,473.643182,1336.00,6.6800
8.609973,32.216611,471.540740,1336.00,6.6800
8.659946,32.619968,473.539274,1336.00,6.6800
8.710975,33.206335,472.433223,1336.00,6.6800
8.761078,33.745728,472.670759,1336.00,6.6800
8.812022,34.212402,471.877430,1336.00,6.6800
8.863061,34.919722,472.019236,1336.00,6.6800
8.913197,35.485577,473.374676,1336.00,6.6800
8.963942,35.674602,471.862499,1336.00,6.6800
9.015010,36.019182,473.468489,1336.00,6.6800
9.065094,36.242105,471.670486,1336.00,6.6800
9.116002,36.297404,473.367378,1336.00,6.6800
9.166904,36.464683,472.635651,1336.00,6.6800
9.216944,36.211787,472.375319,1336.00,6.6800
9.267897,36.220409,471.932726,1336.00,6.6800
9.319011,35.981207,471.559612,1336.00,6.6800
9.369894,35.508606,472.849085,1336.00,6.6800
9.420922,35.323885,470.895037,1336.00,6.6800
9.470937,35.228828,472.155842,1336.00,6.6800
9.521899,34.836382,470.120051,1336.00,6.6800
9.573255,34.469686,472.382163,1336.00,6.6800
9.622892,34.176329,470.701403,1336.00,6.6800
9.673330,33.906483,471.712073,1336.00,6.6800
9.723965,33.725766,470.230482,1336.00,6.6800
9.774930,33.546033,471.439830,1336.00,6.6800
9.825995,33.367106,470.642410,1336.00,6.6800
9.876033,33.153645,470.744109,1336.00,6.6800
9.926970,32.965296,469.829332,1336.00,6.6800
9.978035,32.920097,470.499168,1336.00,6.6800
10.028999,33.059718,470.186002,1336.00,6.6800
10.078942,33.241714,469.900447,1336.00,6.6800
10.130077,33.422471,468.773595,1336.00,6.6800
10.179945,33.725277,469.816621,1336.00,6.6800
10.230968,33.844482,469.143988,1336.00,6.6800
10.281997,34.256245,469.498289,1336.00,6.6800
10.332001,34.550496,468.195136,1336.00,6.6800
10.382983,34.821057,469.528841,1336.00,6.6800
10.433290,35.107826,468.886370,1336.00,6.6800
10.483934,35.231760,469.353234,1336.00,6.6800
10.534952,35.366068,468.144994,1336.00,6.6800
10.585940,35.332895,469.398080,1336.00,6.6800
10.635951,35.464556,468.666893,1336.00,6.6800
10.687033,35.569885,469.123734,1336.00,6.6800
10.737960,35.495948,467.841919,1336.00,6.6800
10.787936,35.419218,469.284961,1336.00,6.6800
10.838967,35.094155,468.589237,1336.00,6.6800
10.889980,35.062624,469.185196,1336.00,6.6800
10.940021,34.826459,468.780272,1336.00,6.6800
10.991092,34.655107,469.467186,1336.00,6.6800
11.041976,34.676226,470.294663,1336.00,6.6800
11.092030,34.693121,469.453124,1336.00,6.6800
11.143071,34.724216,469.970035,1336.00,6.6800
11.193178,34.643633,469.125575,1336.00,6.6800
11.243979,34.544007,470.623209,1336.00,6.6800
11.294955,34.358845,469.037797,1336.00,6.6800
11.345944,34.351336,469.673438,1336.00,6.6800
