# PropArm telemetry export
# Points: 730
# Columns: Domain,t_rel_s,arm_angle_rad,motor_speed_rad_s,pwm_us
#
Domain,t_rel_s,arm_angle_rad,motor_speed_rad_s,pwm_us
real,0.000000,0.403028,0.000000,1000
real,0.000000,0.403028,0.000000,1000
real,0.000000,0.403028,0.000000,1000
sim,0.005200,0.409159,-0.000000,1000
sim,0.046439,0.409159,-0.000000,1000
sim,0.077446,0.409159,-0.000000,1000
real,0.103186,0.403028,0.000000,1000
sim,0.123855,0.409159,-0.000000,1000
real,0.149598,0.403028,0.000000,1000
sim,0.175329,0.409159,-0.000000,1000
real,0.201265,0.403028,0.000000,1000
sim,0.226993,0.409159,-0.000000,1000
real,0.252716,0.403028,0.000000,1000
real,0.252716,0.403028,0.000000,1000
sim,0.278484,0.409159,-0.000000,1000
sim,0.325047,0.409159,-0.000000,1000
real,0.356059,0.403028,0.000000,1000
sim,0.376686,0.409159,-0.000000,1000
real,0.407514,0.403028,0.000000,1000
sim,0.428114,0.409159,-0.000000,1000
real,0.453866,0.403028,0.000000,1000
sim,0.474342,0.409159,-0.000000,1000
real,0.505390,0.403028,0.000000,1000
sim,0.526013,0.409159,-0.000000,1000
real,0.556976,0.403028,0.000000,1000
sim,0.577590,0.409159,-0.000000,1000
real,0.608647,0.403028,0.000000,1000
sim,0.618906,0.409159,-0.000000,1000
real,0.660133,0.403028,0.000000,1000
sim,0.675587,0.409159,-0.000000,1000
real,0.711715,0.403028,0.000000,1000
sim,0.727176,0.409159,-0.000000,1000
real,0.758055,0.403028,0.000000,1000
sim,0.768307,0.409159,-0.000000,1000
real,0.809556,0.403028,0.000000,1000
sim,0.819885,0.409159,-0.000000,1000
real,0.861141,0.403028,0.000000,1000
sim,0.876636,0.409159,-0.000000,1000
real,0.912646,0.403028,0.000000,1000
sim,0.928063,0.409159,-0.000000,1000
real,0.964077,0.403028,0.000000,1000
real,0.964077,0.403028,0.000000,1000
real,0.964077,0.403028,0.000000,1000
sim,0.969234,0.409159,-0.000000,1000
sim,1.020725,0.409159,-0.000000,1000
sim,1.067148,0.409159,-0.000000,1000
real,1.113337,0.403028,0.000000,1000
sim,1.118451,0.409159,-0.000000,1000
real,1.164849,0.403028,0.000000,1000
sim,1.169980,0.409159,-0.000000,1000
real,1.216303,0.403028,0.000000,1000
sim,1.221445,0.409159,-0.000000,1000
real,1.267819,0.403028,0.000000,1000
sim,1.272907,0.409159,-0.000000,1000
sim,1.319232,0.409159,-0.000000,1000
real,1.319240,0.403028,0.000000,1000
real,1.365675,0.403028,0.000000,1000
sim,1.370796,0.409159,-0.000000,1000
real,1.417097,0.403028,0.000000,1000
sim,1.422259,0.409159,-0.000000,1000
real,1.468568,0.403028,0.000000,1000
real,1.468568,0.403028,0.000000,1000
sim,1.473683,0.409159,-0.000000,1005
sim,1.520052,0.409159,-0.000000,1005
sim,1.571548,0.409159,-0.000000,1005
real,1.571554,0.403028,0.000000,1000
sim,1.623226,0.409159,-0.000000,1005
real,1.623237,0.403028,0.000000,1005
real,1.623237,0.403028,0.000000,1005
sim,1.669773,0.409159,-0.000000,1005
sim,1.721217,0.409159,-0.000000,1005
real,1.721225,0.403028,0.000000,1005
sim,1.772689,0.409159,-0.000000,1005
real,1.772694,0.403028,0.000000,1005
real,1.772694,0.403028,0.000000,1005
sim,1.824252,0.409159,-0.000000,1005
sim,1.870725,0.409159,-0.000000,1005
real,1.875838,0.403028,0.000000,1005
sim,1.922226,0.409159,-0.000000,1005
real,1.927360,0.403028,0.000000,1005
real,1.927360,0.403028,0.000000,1009
sim,1.973809,0.409159,-0.000000,1009
sim,2.025276,0.409159,-0.000000,1019
real,2.025283,0.403028,0.000000,1019
sim,2.071650,0.409159,-0.000000,1019
real,2.076792,0.403028,0.000000,1019
sim,2.123178,0.409159,-0.000000,1024
real,2.128330,0.403028,0.000000,1024
real,2.128330,0.403028,0.000000,1024
sim,2.174665,0.409159,-0.000000,1024
real,2.179775,0.403028,0.000000,1024
sim,2.226226,0.409159,-0.000000,1024
real,2.231330,0.403028,0.044370,1024
sim,2.272603,0.409159,-0.000000,1024
real,2.282949,0.403028,0.014450,1024
sim,2.324250,0.409159,-0.000000,1024
real,2.334595,0.403028,0.007302,1024
real,2.334595,0.403028,0.007302,1024
sim,2.375770,0.409159,0.000000,1024
sim,2.427168,0.409159,0.000000,1024
real,2.437472,0.403028,-0.042798,1028
real,2.437472,0.403028,-0.042798,1028
sim,2.473397,0.409159,0.000000,1028
sim,2.525012,0.409159,0.000000,1028
real,2.535428,0.403028,-0.037339,1033
sim,2.576813,0.409159,0.000000,1033
real,2.587062,0.403028,0.009707,1033
sim,2.617997,0.409159,0.000000,1033
real,2.638765,0.403028,-0.831629,1033
sim,2.674800,0.409159,0.000000,1033
real,2.690330,0.403028,-1.507629,1033
sim,2.726420,0.409159,0.000000,1033
real,2.741897,0.403028,-2.664275,1042
real,2.741897,0.403028,-2.664275,1038
real,2.741897,0.403028,-2.664275,1038
real,2.741897,0.403028,-2.664275,1038
sim,2.767587,0.409159,0.000000,1038
sim,2.819221,0.409159,0.000000,1038
sim,2.875910,0.409159,0.000000,1038
sim,2.917069,0.409159,0.000000,1042
real,2.942782,0.403028,5.573016,1047
sim,2.968507,0.409159,0.000000,1047
real,2.994275,0.403028,14.448139,1052
sim,3.019960,0.409159,0.000000,1047
real,3.045748,0.403028,23.740273,1052
sim,3.076755,0.409159,0.000000,1052
real,3.097352,0.403028,32.703437,1052
sim,3.128135,0.409159,0.000000,1052
real,3.148708,0.403028,42.081326,1052
sim,3.169260,0.409159,0.004087,1057
real,3.200082,0.403028,51.525307,1057
sim,3.220669,0.409159,0.020073,1057
real,3.251639,0.403028,60.829416,1061
sim,3.277366,0.409159,0.054410,1061
real,3.303022,0.403028,69.840859,1066
sim,3.318451,0.409159,0.100023,1066
real,3.354533,0.403028,78.455410,1071
real,3.354533,0.403028,78.455410,1071
