# PropArm Data Recording
# Export Time: 2025-11-19T19:00:49
# Number of Points: 396
# Recording Duration: 19.981 seconds
# Start Time: 2025-11-19T18:59:27
# End Time: 2025-11-19T18:59:47
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
0.000000,59.889134,60.000000,540.471633,1434.00,7.1700,0.110866
0.051038,59.767747,60.000000,541.052983,1438.00,7.1900,0.232253
0.100977,59.811277,60.000000,539.819491,1439.00,7.1950,0.188723
0.151928,59.670302,60.000000,540.860162,1441.00,7.2050,0.329698
0.202976,59.592682,60.000000,541.217003,1443.00,7.2150,0.407318
0.253021,59.583325,60.000000,540.144247,1440.00,7.2000,0.416675
0.304048,59.611000,60.000000,541.247895,1442.00,7.2100,0.389000
0.353950,59.685880,60.000000,540.418006,1438.00,7.1900,0.314120
0.405014,59.798504,60.000000,540.168045,1440.00,7.2000,0.201496
0.455068,59.712823,60.000000,541.442588,1436.00,7.1800,0.287177
0.505967,59.714599,60.000000,539.369785,1439.00,7.1950,0.285401
0.555973,59.592959,60.000000,540.805512,1438.00,7.1900,0.407041
0.607126,59.724167,60.000000,542.822830,1442.00,7.2100,0.275833
0.656954,59.600614,60.000000,541.448691,1439.00,7.1950,0.399386
0.708276,59.624831,60.000000,542.010562,1440.00,7.2000,0.375169
0.757964,59.573885,60.000000,543.318388,1442.00,7.2100,0.426115
0.809270,59.691328,60.000000,541.736055,1438.00,7.1900,0.308672
0.860281,59.767702,60.000000,541.881817,1439.00,7.1950,0.232298
0.909905,59.705762,60.000000,543.043084,1440.00,7.2000,0.294238
0.960944,59.603469,60.000000,541.327146,1437.00,7.1850,0.396531
1.011956,59.609536,60.000000,541.521944,1444.00,7.2200,0.390464
1.061851,59.526488,60.000000,542.518508,1442.00,7.2100,0.473512
1.111965,59.653411,60.000000,540.611017,1440.00,7.2000,0.346589
1.162937,59.526449,60.000000,541.911844,1438.00,7.1900,0.473551
1.213869,59.512759,60.000000,542.639338,1441.00,7.2050,0.487241
1.264951,59.396347,60.000000,540.434242,1439.00,7.1950,0.603653
1.314971,59.531718,60.000000,541.635301,1444.00,7.2200,0.468282
1.365880,59.429094,60.000000,541.698676,1435.00,7.1750,0.570906
1.415885,59.417295,60.000000,539.917009,1440.00,7.2000,0.582705
1.466850,59.548476,60.000000,541.467093,1439.00,7.1950,0.451524
1.516960,59.460061,60.000000,541.513534,1436.00,7.1800,0.539939
1.568165,59.565129,60.000000,540.514229,1440.00,7.2000,0.434871
1.619248,59.438243,60.000000,541.727064,1437.00,7.1850,0.561757
1.668870,59.494934,60.000000,540.942195,1440.00,7.2000,0.505066
1.719888,59.434808,60.000000,540.765211,1441.00,7.2050,0.565192
1.769926,59.492186,60.000000,541.443629,1445.00,7.2250,0.507814
1.820889,59.397469,60.000000,540.315400,1442.00,7.2100,0.602531
1.871916,59.304115,60.000000,541.058860,1441.00,7.2050,0.695885
1.921855,59.334892,60.000000,541.036651,1444.00,7.2200,0.665108
1.972872,59.517714,60.000000,540.160883,1441.00,7.2050,0.482286
2.022958,59.417891,60.000000,541.537016,1434.00,7.1700,0.582109
2.073871,59.425913,60.000000,540.632708,1445.00,7.2250,0.574087
2.123851,59.502650,60.000000,540.468802,1440.00,7.2000,0.497350
2.174931,59.476140,60.000000,542.080732,1436.00,7.1800,0.523860
2.224889,59.595552,60.000000,540.219407,1438.00,7.1900,0.404448
2.274870,59.585622,60.000000,541.297651,1439.00,7.1950,0.414378
2.326088,59.507357,60.000000,542.693168,1441.00,7.2050,0.492643
2.376962,59.655686,60.000000,540.996958,1444.00,7.2200,0.344314
2.427071,59.528269,60.000000,541.833574,1440.00,7.2000,0.471731
2.477959,59.689995,60.000000,543.305468,1441.00,7.2050,0.310005
2.529120,59.766636,60.000000,541.772053,1437.00,7.1850,0.233364
2.579108,60.126789,60.000000,541.305665,1439.00,7.1950,-0.126789
2.630044,60.362171,60.000000,542.529730,1434.00,7.1700,-0.362171
2.680995,60.515317,60.000000,540.401181,1438.00,7.1900,-0.515317
2.730954,60.725733,60.000000,541.024284,1438.00,7.1900,-0.725733
2.781954,60.806167,60.000000,542.132561,1436.00,7.1800,-0.806167
2.833036,60.747473,60.000000,540.076082,1439.00,7.1950,-0.747473
2.883028,60.735679,60.000000,541.133135,1445.00,7.2250,-0.735679
2.933964,60.814123,60.000000,542.028869,1442.00,7.2100,-0.814123
2.984948,60.964778,60.000000,539.793559,1438.00,7.1900,-0.964778
3.035053,60.909523,60.000000,541.032130,1438.00,7.1900,-0.909523
3.085949,60.953198,60.000000,541.668576,1442.00,7.2100,-0.953198
3.136962,61.023299,60.000000,539.599899,1440.00,7.2000,-1.023299
3.187035,60.762979,60.000000,541.090524,1438.00,7.1900,-0.762979
3.237008,60.554723,60.000000,540.158421,1442.00,7.2100,-0.554723
3.288357,60.405698,60.000000,539.971308,1441.00,7.2050,-0.405698
3.338017,60.163419,60.000000,540.689896,1438.00,7.1900,-0.163419
