# PropArm Data Recording
# Export Time: 2025-11-19T12:25:58
# Number of Points: 1046
# Recording Duration: 10.496 seconds
# Start Time: 2025-11-19T12:24:12
# End Time: 2025-11-19T12:24:23
#
Recording_Time_s,Arm_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent
0.000000,9.536100,0.000000,1000.00,5.0000
0.010082,9.536100,0.000000,1000.00,5.0000
0.020238,9.536100,0.000000,1000.00,5.0000
0.030273,9.536100,0.000000,1000.00,5.0000
0.040317,9.536100,0.000000,1000.00,5.0000
0.050292,9.536100,0.000000,1000.00,5.0000
0.060357,9.536100,0.000000,1000.00,5.0000
0.070456,9.536100,0.000000,1000.00,5.0000
0.080477,9.536100,0.000000,1000.00,5.0000
0.090604,9.536100,0.000000,1000.00,5.0000
0.100565,9.536100,0.000000,1000.00,5.0000
0.110653,9.536100,0.000000,1000.00,5.0000
0.120696,9.536100,0.000000,1000.00,5.0000
0.130763,9.536100,0.000000,1000.00,5.0000
0.140825,9.536100,0.000000,1000.00,5.0000
0.150811,9.536100,0.000000,1000.00,5.0000
0.160783,9.536100,0.000000,1000.00,5.0000
0.170867,9.536100,0.000000,1000.00,5.0000
0.180966,9.536100,0.000000,1000.00,5.0000
0.190970,9.536100,0.000000,1000.00,5.0000
0.201022,9.536100,0.000000,1000.00,5.0000
0.211041,9.536100,0.000000,1000.00,5.0000
0.221148,9.536100,0.000000,1000.00,5.0000
0.231213,9.536100,0.000000,1000.00,5.0000
0.241293,9.536100,0.000000,1000.00,5.0000
0.251271,9.536100,0.000000,1000.00,5.0000
0.261369,9.536100,0.000000,1000.00,5.0000
0.271444,9.536100,0.000000,1000.00,5.0000
0.281593,9.536100,0.000000,1000.00,5.0000
0.291612,9.536100,0.000000,1000.00,5.0000
0.301648,9.536100,0.000000,1000.00,5.0000
0.311827,9.536100,0.000000,1000.00,5.0000
0.321745,9.536100,0.000000,1000.00,5.0000
0.331817,9.536100,0.000000,1000.00,5.0000
0.341757,9.536100,0.000000,1000.00,5.0000
0.351770,9.536100,0.000000,1000.00,5.0000
0.361877,9.536100,0.000000,1000.00,5.0000
0.371871,9.536100,0.000000,1000.00,5.0000
0.381915,9.536100,0.000000,1000.00,5.0000
0.392136,9.536100,0.000000,1000.00,5.0000
0.402069,9.536100,0.000000,1000.00,5.0000
0.412189,9.536100,0.000000,1000.00,5.0000
0.422082,9.536100,0.000000,1000.00,5.0000
0.432108,9.536100,0.000000,1000.00,5.0000
0.442182,9.536100,0.000000,1000.00,5.0000
0.452247,9.536100,0.000000,1000.00,5.0000
0.462413,9.536100,0.000000,1000.00,5.0000
0.472358,9.536100,0.000000,1000.00,5.0000
0.482362,9.536100,0.000000,1000.00,5.0000
0.492489,9.536100,0.000000,1000.00,5.0000
0.502541,9.536100,0.000000,1000.00,5.0000
0.512711,9.536100,0.000000,1000.00,5.0000
0.522683,9.536100,0.000000,1000.00,5.0000
0.532725,9.536100,0.000000,1000.00,5.0000
0.542781,9.536100,0.000000,1000.00,5.0000
0.552779,9.536100,0.000000,1000.00,5.0000
0.562859,9.536100,0.000000,1000.00,5.0000
0.572815,9.536100,0.000000,1000.00,5.0000
0.582819,9.536100,0.000000,1000.00,5.0000
0.592921,9.536100,0.000000,1000.00,5.0000
0.602969,9.536100,0.000000,1000.00,5.0000
0.613134,9.536100,0.000000,1000.00,5.0000
0.623068,9.536100,0.000000,1000.00,5.0000
0.633061,9.536100,0.000000,1000.00,5.0000
0.643121,9.536100,0.000000,1000.00,5.0000
0.653191,9.536100,0.000000,1000.00,5.0000
0.663254,9.536100,0.000000,1000.00,5.0000
0.673232,9.536100,0.000000,1000.00,5.0000
0.683277,9.536100,0.000000,1000.00,5.0000
0.693333,9.536100,0.000000,1000.00,5.0000
0.703433,9.536100,0.000000,1000.00,5.0000
0.713594,9.536100,0.000000,1000.00,5.0000
0.723614,9.536100,0.000000,1000.00,5.0000
0.733538,9.536100,0.000000,1000.00,5.0000
0.743643,9.536100,0.000000,1000.00,5.0000
0.753661,9.536100,0.000000,1000.00,5.0000
0.763701,9.536100,0.000000,1000.00,5.0000
0.773746,9.536100,0.000000,1000.00,5.0000
0.783740,9.536100,0.000000,1000.00,5.0000
0.793706,9.536100,0.000000,1000.00,5.0000
0.803766,9.536100,0.000000,1000.00,5.0000
0.813853,9.536100,0.000000,1000.00,5.0000
0.823960,9.536100,0.000000,1000.00,5.0000
0.833801,9.536100,0.000000,1000.00,5.0000
0.843877,9.536100,0.000000,1000.00,5.0000
0.853992,9.536100,0.000000,1000.00,5.0000
0.864103,9.536100,0.000000,1000.00,5.0000
0.874010,9.536100,0.000000,1000.00,5.0000
0.884089,9.536100,0.000000,1000.00,5.0000
0.894142,9.536100,0.000000,1000.00,5.0000
0.904244,9.536100,0.000000,1000.00,5.0000
0.914469,9.536100,0.000000,1000.00,5.0000
0.924344,9.536100,0.000000,1000.00,5.0000
0.934407,9.536100,0.000000,1000.00,5.0000
0.944349,9.536100,0.000000,1000.00,5.0000
0.954432,9.536100,0.000000,1000.00,5.0000
0.964430,9.536100,0.000000,1000.00,5.0000
0.974498,9.536100,0.000000,1000.00,5.0000
0.984542,9.536100,0.000000,1000.00,5.0000
0.994668,9.536100,0.000000,1000.00,5.0000
1.004659,9.536100,0.000000,1000.00,5.0000
1.014803,9.536100,0.000000,1000.00,5.0000
1.024932,9.536100,0.000000,1000.00,5.0000
1.034933,9.536100,0.000000,1000.00,5.0000
1.045002,9.536100,0.000000,1000.00,5.0000
1.054993,9.536100,0.000000,1000.00,5.0000
1.065066,9.536100,0.000000,1000.00,5.0000
1.075093,9.536100,0.000000,1000.00,5.0000
1.085127,9.536100,0.000000,1000.00,5.0000
1.095226,9.536100,0.000000,1000.00,5.0000
1.105282,9.536100,0.000000,1000.00,5.0000
1.115311,9.536100,0.000000,1000.00,5.0000
1.125470,9.536100,0.000000,1000.00,5.0000
1.135469,9.536100,0.000000,1000.00,5.0000
1.145594,9.536100,0.000000,1000.00,5.0000
1.155530,9.536100,0.000000,1000.00,5.0000
1.165498,9.536100,0.000000,1000.00,5.0000
1.175576,9.536100,0.000000,1000.00,5.0000
1.185659,9.536100,0.000000,1000.00,5.0000
1.195799,9.536100,0.000000,1000.00,5.0000
1.205759,9.536100,0.000000,1000.00,5.0000
1.215675,9.536100,0.000000,1000.00,5.0000
1.225740,9.536100,0.000000,1000.00,5.0000
1.235797,9.536100,0.000000,1000.00,5.0000
1.245838,9.536100,0.000000,1000.00,5.0000
1.255823,9.536100,0.000000,1000.00,5.0000
1.265826,9.536100,0.000000,1000.00,5.0000
1.275872,9.536100,0.000000,1000.00,5.0000
1.286049,9.536100,0.000000,1000.00,5.0000
1.296185,9.536100,0.000000,1000.00,5.0000
1.306133,9.536100,0.000000,1000.00,5.0000
1.316119,9.536100,0.000000,1000.00,5.0000
1.326204,9.536100,0.000000,1000.00,5.0000
1.336361,9.536100,0.000000,1000.00,5.0000
1.346450,9.536100,0.000000,1000.00,5.0000
1.356346,9.536100,0.000000,1000.00,5.0000
1.366312,9.536100,0.000000,1000.00,5.0000
1.376376,9.536100,0.000000,1000.00,5.0000
1.386553,9.536100,0.000000,1000.00,5.0000
1.396445,9.536100,0.000000,1000.00,5.0000
1.406564,9.536100,0.000000,1000.00,5.0000
1.416523,9.536100,0.000000,1000.00,5.0000
1.426665,9.536100,0.000000,1000.00,5.0000
1.436708,9.536100,0.000000,1000.00,5.0000
1.446696,9.536100,0.000000,1000.00,5.0000
1.456798,9.536100,0.000000,1000.00,5.0000
