Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
0.000000,9.536100,15.000000,1000.00,5.0000,5.463900
0.009937,9.536100,15.000000,1000.00,5.0000,5.463900
0.020237,9.536100,15.000000,1000.00,5.0000,5.463900
0.030144,9.536100,15.000000,1000.00,5.0000,5.463900
0.040231,9.536100,15.000000,1000.00,5.0000,5.463900
0.050219,9.536100,15.000000,1000.00,5.0000,5.463900
0.060391,9.536100,15.000000,1000.00,5.0000,5.463900
0.070580,9.536100,15.000000,1000.00,5.0000,5.463900
0.080353,9.536100,15.000000,1000.00,5.0000,5.463900
0.090511,9.536100,15.000000,1000.00,5.0000,5.463900
0.100557,9.536100,15.000000,1000.00,5.0000,5.463900
0.110533,9.536100,15.000000,1000.00,5.0000,5.463900
0.120515,9.536100,15.000000,1000.00,5.0000,5.463900
0.130540,9.536100,15.000000,1000.00,5.0000,5.463900
0.140711,9.536100,15.000000,1000.00,5.0000,5.463900
0.150714,9.536100,15.000000,1000.00,5.0000,5.463900
0.160782,9.536100,15.000000,1000.00,5.0000,5.463900
0.170727,9.536100,15.000000,1000.00,5.0000,5.463900
0.180786,9.536100,15.000000,1000.00,5.0000,5.463900
0.190909,9.536100,15.000000,1000.00,5.0000,5.463900
0.200929,9.536100,15.000000,1000.00,5.0000,5.463900
0.210959,9.536100,15.000000,1000.00,5.0000,5.463900
0.220913,9.536100,15.000000,1000.00,5.0000,5.463900
0.231069,9.536100,15.000000,1000.00,5.0000,5.463900
0.241120,9.536100,15.000000,1000.00,5.0000,5.463900
0.251189,9.536100,15.000000,1000.00,5.0000,5.463900
0.261311,9.536100,15.000000,1000.00,5.0000,5.463900
0.271356,9.536100,15.000000,1000.00,5.0000,5.463900
0.281312,9.536100,15.000000,1000.00,5.0000,5.463900
0.291358,9.536100,15.000000,1000.00,5.0000,5.463900
0.301465,9.536100,15.000000,1000.00,5.0000,5.463900
0.311537,9.536100,15.000000,1000.00,5.0000,5.463900
0.321506,9.536100,15.000000,1000.00,5.0000,5.463900
0.331506,9.536100,15.000000,1000.00,5.0000,5.463900
0.341599,9.536100,15.000000,1000.00,5.0000,5.463900
0.351742,9.536100,15.000000,1000.00,5.0000,5.463900
0.361720,9.536100,15.000000,1000.00,5.0000,5.463900
0.371691,9.536100,15.000000,1000.00,5.0000,5.463900
0.381683,9.536100,15.000000,1000.00,5.0000,5.463900
0.391692,9.536100,15.000000,1000.00,5.0000,5.463900
0.401799,9.536100,15.000000,1000.00,5.0000,5.463900
0.411844,9.536100,15.000000,1000.00,5.0000,5.463900
0.421819,9.536100,15.000000,1000.00,5.0000,5.463900
0.431801,9.536100,15.000000,1000.00,5.0000,5.463900
0.441948,9.536100,15.000000,1000.00,5.0000,5.463900
0.452068,9.536100,15.000000,1000.00,5.0000,5.463900
0.462016,9.536100,15.000000,1000.00,5.0000,5.463900
0.472111,9.536100,15.000000,1000.00,5.0000,5.463900
0.482199,9.536100,15.000000,1000.00,5.0000,5.463900
0.492412,9.536100,15.000000,1000.00,5.0000,5.463900
0.502395,9.536100,15.000000,1000.00,5.0000,5.463900
0.512415,9.536100,15.000000,1000.00,5.0000,5.463900
0.522393,9.536100,15.000000,1000.00,5.0000,5.463900
0.532417,9.536100,15.000000,1000.00,5.0000,5.463900
0.542483,9.536100,15.000000,1000.00,5.0000,5.463900
0.552480,9.536100,15.000000,1000.00,5.0000,5.463900
0.562584,9.536100,15.000000,1000.00,5.0000,5.463900
0.572662,9.536100,15.000000,1000.00,5.0000,5.463900
0.582735,9.536100,15.000000,1000.00,5.0000,5.463900
0.592843,9.536100,15.000000,1000.00,5.0000,5.463900
0.602734,9.536100,15.000000,1000.00,5.0000,5.463900
0.612843,9.536100,15.000000,1000.00,5.0000,5.463900
0.622860,9.536100,15.000000,1000.00,5.0000,5.463900
0.632865,9.536100,15.000000,1000.00,5.0000,5.463900
0.642948,9.536100,15.000000,1000.00,5.0000,5.463900
0.652980,9.536100,15.000000,1000.00,5.0000,5.463900
0.663109,9.536100,15.000000,1000.00,5.0000,5.463900
0.673140,9.536100,15.000000,1000.00,5.0000,5.463900
0.683155,9.536100,15.000000,1000.00,5.0000,5.463900
0.693325,9.536100,15.000000,1000.00,5.0000,5.463900
0.703264,9.536100,15.000000,1000.00,5.0000,5.463900
0.713388,9.536100,15.000000,1000.00,5.0000,5.463900
0.723499,9.536100,15.000000,1000.00,5.0000,5.463900
0.733432,9.536100,15.000000,1000.00,5.0000,5.463900
0.743497,9.536100,15.000000,1000.00,5.0000,5.463900
0.753479,9.536100,15.000000,1000.00,5.0000,5.463900
0.763846,9.536100,15.000000,1000.00,5.0000,5.463900
0.773708,9.536100,15.000000,1000.00,5.0000,5.463900
0.783840,9.536100,15.000000,1000.00,5.0000,5.463900
0.793889,9.536100,15.000000,1000.00,5.0000,5.463900
0.803891,9.536100,15.000000,1000.00,5.0000,5.463900
0.813964,9.536100,15.000000,1000.00,5.0000,5.463900
0.824123,9.536100,15.000000,1000.00,5.0000,5.463900
0.834186,9.536100,15.000000,1000.00,5.0000,5.463900
0.844144,9.536100,15.000000,1000.00,5.0000,5.463900
0.854401,9.536100,15.000000,1326.00,6.6300,5.463900
0.864387,9.536100,15.000000,1246.00,6.2300,5.463900
